"CellID","X","Y","RF_Mean_Probability","RF_SD_Probability","RF_Min_Probability","RF_Max_Probability","RF_Prediction_n","Final_Model","Final_Threshold_Method","Final_Threshold","Prospective_P90","Prospectivity_Class"
31,531763.5791,4419989.11,0.0197204927149558,0.0107712191121089,0,0.0509524458548848,150,"RF","P90",0.0831089141044258,0,"Below_P90"
32,531788.5791,4419989.11,0.0176336851665692,0.00920802212239881,0,0.0424950883247016,150,"RF","P90",0.0831089141044258,0,"Below_P90"
33,531813.5791,4419989.11,0.0243260580162895,0.0125628752398381,0,0.0512590061804282,150,"RF","P90",0.0831089141044258,0,"Below_P90"
34,531838.5791,4419989.11,0.012093922508971,0.00601202308637267,0,0.0270011665939272,150,"RF","P90",0.0831089141044258,0,"Below_P90"
35,531863.5791,4419989.11,0.0234912913041631,0.0184207528472996,0,0.0915855320806265,150,"RF","P90",0.0831089141044258,0,"Below_P90"
36,531888.5791,4419989.11,0.0227679539151568,0.0182186795520508,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
37,531913.5791,4419989.11,0.022585319161022,0.0182157129672499,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
38,531938.5791,4419989.11,0.022359319161022,0.0182556546199904,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
39,531963.5791,4419989.11,0.0222182969387998,0.0182789278802875,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
40,531988.5791,4419989.11,0.0222076302721331,0.0182855445709105,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
41,532013.5791,4419989.11,0.0221076302721331,0.0179767351142496,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
42,532038.5791,4419989.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
43,532063.5791,4419989.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
44,532088.5791,4419989.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
45,532113.5791,4419989.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
46,532138.5791,4419989.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
